cas operacie,index prvku,dlzka zoznamu,
6e-07,4,4,
2e-07,3,3,
5e-07,8,8,
4e-07,6,6,
6e-07,7,7,
6e-07,9,9,
4e-07,9,9,
4e-07,7,7,
4e-07,10,10,
4e-07,7,7,
3e-07,5,5,
3e-07,4,4,
6e-07,3,3,
4e-07,3,3,
4e-07,2,2,
3e-07,3,3,
3e-07,7,7,
3e-07,7,7,
3e-07,6,6,
3e-07,5,5,
4e-07,6,6,
4e-07,7,7,
5e-07,10,10,
3e-07,8,8,
4e-07,8,8,
4e-07,14,14,
3e-07,13,13,
3e-07,11,11,
4e-07,10,10,
5e-07,10,10,
7.3e-06,13,13,
3e-07,13,13,
4e-07,18,18,
4e-07,16,16,
5e-07,18,18,
5e-07,22,22,
4e-07,23,23,
4e-07,20,20,
4e-07,20,20,
4e-07,18,18,
4e-07,17,17,
5e-07,21,21,
5e-07,26,26,
5e-07,31,31,
7e-07,35,35,
5e-07,34,34,
5e-07,34,34,
6e-07,32,32,
6e-07,31,31,
5e-07,33,33,
5e-07,34,34,
6e-07,35,35,
7e-07,35,35,
7e-07,38,38,
6e-07,36,36,
6e-07,36,36,
5e-07,36,36,
6e-07,33,33,
4e-07,31,31,
1.1e-06,30,30,
5e-07,32,32,
5e-07,28,28,
5e-07,27,27,
5e-07,24,24,
5e-07,25,25,
4e-07,25,25,
4e-07,23,23,
4e-07,22,22,
4e-07,21,21,
4e-07,20,20,
4e-07,24,24,
4e-07,24,24,
4e-07,24,24,
3e-07,23,23,
3e-07,23,23,
3e-07,23,23,
4e-07,21,21,
3e-07,20,20,
4e-07,20,20,
4e-07,19,19,
3e-07,17,17,
3e-07,17,17,
4e-07,16,16,
4e-07,15,15,
3e-07,21,21,
4e-07,21,21,
4e-07,21,21,
4e-07,25,25,
3e-07,24,24,
4e-07,23,23,
3e-07,22,22,
3e-07,19,19,
3e-07,16,16,
4e-07,15,15,
3e-07,17,17,
3e-07,13,13,
3e-07,11,11,
3e-07,13,13,
3e-07,13,13,
3e-07,12,12,
4e-07,21,21,
3e-07,21,21,
4e-07,20,20,
3e-07,20,20,
3e-07,20,20,
4e-07,25,25,
4e-07,23,23,
4e-07,31,31,
5e-07,30,30,
4e-07,30,30,
4e-07,31,31,
4e-07,38,38,
5e-07,40,40,
5e-07,40,40,
5e-07,44,44,
4e-07,40,40,
5e-07,40,40,
5e-07,37,37,
4e-07,37,37,
5e-07,37,37,
4e-07,31,31,
4e-07,30,30,
4e-07,31,31,
4e-07,25,25,
4e-07,24,24,
4e-07,26,26,
4e-07,27,27,
4e-07,31,31,
4e-07,28,28,
4e-07,28,28,
4e-07,28,28,
4e-07,26,26,
5e-07,26,26,
4e-07,26,26,
4e-07,25,25,
3e-07,23,23,
4e-07,17,17,
3e-07,16,16,
3e-07,15,15,
3e-07,15,15,
3e-07,17,17,
3e-07,12,12,
3e-07,11,11,
3e-07,11,11,
3e-07,10,10,
3e-07,9,9,
3e-07,7,7,
3e-07,10,10,
3e-07,10,10,
3e-07,9,9,
3e-07,9,9,
3e-07,16,16,
3e-07,16,16,
3e-07,14,14,
4e-07,16,16,
3e-07,14,14,
3e-07,13,13,
3e-07,16,16,
3e-07,15,15,
3e-07,14,14,
4e-07,14,14,
3e-07,12,12,
2e-07,7,7,
2e-07,7,7,
2e-07,6,6,
3e-07,6,6,
3e-07,6,6,
3e-07,10,10,
3e-07,9,9,
3e-07,9,9,
2e-07,7,7,
3e-07,7,7,
3e-07,6,6,
2e-07,11,11,
3e-07,12,12,
3e-07,11,11,
3e-07,10,10,
2e-07,9,9,
3e-07,11,11,
3e-07,10,10,
3e-07,11,11,
3e-07,10,10,
3e-07,12,12,
3e-07,11,11,
3e-07,10,10,
3e-07,8,8,
2e-07,6,6,
3e-07,2,2,
2e-07,1,1,
3e-07,1,1,
2e-07,4,4,
3e-07,5,5,
2e-07,4,4,
2e-07,5,5,
3e-07,4,4,
2e-07,1,1,
3e-07,2,2,
3e-07,2,2,
3e-07,7,7,
2e-07,10,10,
3e-07,10,10,
3e-07,13,13,
3e-07,15,15,
4e-07,17,17,
3e-07,12,12,
3e-07,10,10,
3e-07,9,9,
3e-07,7,7,
3e-07,7,7,
3e-07,9,9,
3e-07,9,9,
2e-07,8,8,
3e-07,8,8,
3e-07,10,10,
3e-07,8,8,
3e-07,6,6,
2e-07,6,6,
3e-07,4,4,
2e-07,3,3,
2e-07,4,4,
4e-07,17,17,
4e-07,18,18,
3e-07,17,17,
3e-07,16,16,
3e-07,16,16,
3e-07,18,18,
3e-07,18,18,
3e-07,18,18,
3e-07,17,17,
3e-07,16,16,
3e-07,15,15,
3e-07,14,14,
3e-07,13,13,
3e-07,11,11,
3e-07,10,10,
3e-07,9,9,
2e-07,8,8,
3e-07,9,9,
2e-07,7,7,
3e-07,8,8,
3e-07,10,10,
3e-07,10,10,
3e-07,10,10,
4e-07,11,11,
3e-07,14,14,
4e-07,15,15,
3e-07,17,17,
3e-07,16,16,
3e-07,14,14,
3e-07,13,13,
3e-07,13,13,
3e-07,14,14,
4e-07,17,17,
4e-07,15,15,
3e-07,8,8,
3e-07,7,7,
2e-07,5,5,
3e-07,10,10,
3e-07,9,9,
4e-07,15,15,
2e-07,14,14,
3e-07,18,18,
3e-07,19,19,
4e-07,19,19,
4e-07,24,24,
4e-07,23,23,
4e-07,29,29,
4e-07,27,27,
4e-07,26,26,
4e-07,25,25,
4e-07,23,23,
3e-07,24,24,
4e-07,28,28,
7e-07,30,30,
4e-07,28,28,
3.3e-06,28,28,
5e-07,27,27,
5e-07,26,26,
5e-07,24,24,
5e-07,26,26,
4e-07,28,28,
5e-07,27,27,
5e-07,26,26,
4e-07,23,23,
4e-07,22,22,
4e-07,23,23,
3e-07,21,21,
4e-07,20,20,
4e-07,19,19,
4e-07,18,18,
3e-07,17,17,
3e-07,16,16,
2e-07,12,12,
3e-07,18,18,
3e-07,16,16,
3e-07,15,15,
4e-07,14,14,
5e-07,21,21,
4e-07,20,20,
3e-07,19,19,
4e-07,18,18,
4e-07,23,23,
4e-07,24,24,
3e-07,22,22,
4e-07,29,29,
4e-07,26,26,
3e-07,24,24,
4e-07,27,27,
4e-07,26,26,
4e-07,21,21,
3e-07,19,19,
4e-07,18,18,
3e-07,17,17,
3e-07,16,16,
4e-07,14,14,
3e-07,14,14,
3e-07,13,13,
4e-07,17,17,
3e-07,16,16,
5e-07,29,29,
5e-07,28,28,
5e-07,27,27,
4e-07,26,26,
5e-07,25,25,
5e-07,27,27,
4e-07,24,24,
3.2e-06,25,25,
6e-07,24,24,
6e-07,24,24,
1.2e-06,24,24,
5e-07,23,23,
5e-07,22,22,
5e-07,21,21,
5e-07,14,14,
4e-07,14,14,
3e-07,13,13,
5e-07,12,12,
7e-07,19,19,
5e-07,26,26,
6e-07,26,26,
6e-07,29,29,
9e-07,28,28,
4e-07,27,27,
7e-07,28,28,
6e-07,27,27,
5e-07,28,28,
4e-07,26,26,
5e-07,25,25,
5e-07,24,24,
1e-06,25,25,
7e-07,29,29,
6e-07,29,29,
5e-07,31,31,
6e-07,30,30,
6e-07,30,30,
6e-07,30,30,
7e-07,31,31,
7e-07,31,31,
7e-07,32,32,
4e-07,31,31,
5e-07,32,32,
6e-07,31,31,
8e-07,32,32,
8e-07,30,30,
7e-07,26,26,
5e-07,26,26,
4e-07,21,21,
3e-07,20,20,
3e-07,20,20,
4e-07,18,18,
3e-07,18,18,
4e-07,17,17,
3e-07,16,16,
4e-07,18,18,
3e-07,17,17,
3e-07,16,16,
4e-07,13,13,
3e-07,12,12,
4e-07,11,11,
3e-07,10,10,
2e-07,9,9,
2e-07,9,9,
3e-07,8,8,
3e-07,12,12,
3e-07,10,10,
4e-07,13,13,
3e-07,13,13,
3e-07,14,14,
3e-07,14,14,
3e-07,14,14,
3e-07,11,11,
2e-07,9,9,
2e-07,5,5,
3e-07,6,6,
2e-07,5,5,
1e-06,0,0,
3e-07,1,1,
2e-07,1,1,
2e-07,0,0,
3e-07,0,0,
2e-07,0,0,
3e-07,4,4,
3e-07,4,4,
3e-07,3,3,
3e-07,2,2,
2e-07,1,1,
3e-07,1,1,
3e-07,2,2,
2e-07,1,1,
2e-07,3,3,
3e-07,1,1,
2e-07,1,1,
3e-07,0,0,
3e-07,1,1,
3e-07,1,1,
2e-07,1,1,
2e-07,2,2,
2e-07,0,0,
3e-07,2,2,
2e-07,7,7,
2e-07,7,7,
3e-07,5,5,
3e-07,4,4,
2e-07,0,0,
2e-07,0,0,
2e-07,1,1,
2e-07,1,1,
2e-07,4,4,
3e-07,5,5,
3e-07,5,5,
3e-07,8,8,
3e-07,7,7,
3e-07,4,4,
3e-07,3,3,
3e-07,9,9,
3e-07,16,16,
3e-07,15,15,
3e-07,14,14,
4e-07,15,15,
3e-07,15,15,
3e-07,20,20,
4e-07,22,22,
4e-07,23,23,
4e-07,22,22,
4e-07,23,23,
4e-07,20,20,
4e-07,21,21,
4e-07,21,21,
3e-07,18,18,
4e-07,18,18,
3e-07,17,17,
3e-07,18,18,
3e-07,17,17,
3e-07,16,16,
3e-07,18,18,
4e-07,17,17,
4e-07,17,17,
4e-07,17,17,
6.6e-06,16,16,
4e-07,14,14,
4e-07,15,15,
3e-07,15,15,
3e-07,16,16,
3e-07,12,12,
3e-07,9,9,
3e-07,10,10,
3e-07,10,10,
3e-07,10,10,
3e-07,13,13,
3e-07,13,13,
3e-07,14,14,
3e-07,15,15,
4e-07,15,15,
4e-07,16,16,
3e-07,15,15,
3e-07,17,17,
4e-07,24,24,
4e-07,23,23,
3e-07,20,20,
4e-07,21,21,
4e-07,22,22,
5e-07,29,29,
6e-07,28,28,
4e-07,26,26,
5e-07,30,30,
5e-07,28,28,
4e-07,28,28,
5e-07,30,30,
4e-07,29,29,
5e-07,33,33,
5e-07,34,34,
5e-07,35,35,
2.1e-06,38,38,
5e-07,37,37,
5e-07,36,36,
5e-07,36,36,
5e-07,36,36,
4e-07,33,33,
5e-07,39,39,
6e-07,45,45,
7e-07,48,48,
6e-07,51,51,
6e-07,49,49,
6e-07,49,49,
6e-07,48,48,
5e-07,46,46,
6e-07,45,45,
6e-07,46,46,
5e-07,45,45,
5e-07,44,44,
6e-07,43,43,
5e-07,43,43,
5e-07,40,40,
5e-07,41,41,
6e-07,39,39,
5e-07,37,37,
4e-07,35,35,
5e-07,36,36,
4e-07,35,35,
4e-07,35,35,
4e-07,39,39,
5e-07,40,40,
4e-07,37,37,
5e-07,37,37,
5e-07,38,38,
4e-07,37,37,
6e-07,47,47,
5e-07,46,46,
5e-07,45,45,
6e-07,43,43,
4e-07,43,43,
5e-07,42,42,
5e-07,42,42,
5e-07,42,42,
5e-07,45,45,
5e-07,44,44,
5e-07,45,45,
5e-07,46,46,
6e-07,50,50,
6e-07,48,48,
6e-07,49,49,
6e-07,46,46,
5e-07,46,46,
5e-07,48,48,
5e-07,46,46,
5e-07,40,40,
5e-07,40,40,
5e-07,39,39,
5e-07,38,38,
5e-07,37,37,
5e-07,36,36,
4e-07,37,37,
4e-07,38,38,
5e-07,37,37,
5e-07,37,37,
6e-07,49,49,
6e-07,49,49,
6e-07,53,53,
6e-07,56,56,
6e-07,56,56,
6e-07,56,56,
6e-07,55,55,
6e-07,58,58,
6e-07,56,56,
6e-07,59,59,
6e-07,57,57,
6e-07,63,63,
6e-07,60,60,
7e-07,58,58,
6e-07,57,57,
6e-07,60,60,
7e-07,60,60,
7e-07,59,59,
6e-07,62,62,
6e-07,64,64,
7e-07,63,63,
6e-07,62,62,
6e-07,61,61,
7e-07,63,63,
6e-07,65,65,
6e-07,63,63,
6e-07,60,60,
6e-07,60,60,
7e-07,61,61,
8e-07,65,65,
7e-07,65,65,
6e-07,63,63,
6e-07,63,63,
6e-07,63,63,
7e-07,64,64,
6e-07,62,62,
7e-07,61,61,
6e-07,60,60,
7e-07,69,69,
7e-07,68,68,
7e-07,70,70,
7e-07,71,71,
6e-07,68,68,
7e-07,69,69,
7e-07,70,70,
7e-07,70,70,
7e-07,69,69,
7e-07,66,66,
8e-07,69,69,
7e-07,69,69,
8e-07,68,68,
6e-07,65,65,
7e-07,65,65,
7e-07,68,68,
7e-07,67,67,
7e-07,64,64,
6e-07,62,62,
6e-07,64,64,
7e-07,64,64,
7e-07,67,67,
7e-07,65,65,
7e-07,66,66,
7e-07,65,65,
7e-07,65,65,
6e-07,63,63,
7e-07,62,62,
7e-07,64,64,
7e-07,66,66,
8e-07,70,70,
7e-07,73,73,
7e-07,71,71,
7e-07,80,80,
7e-07,76,76,
8e-07,77,77,
8e-07,79,79,
9e-07,82,82,
9e-07,83,83,
7e-07,78,78,
7e-07,75,75,
8e-07,75,75,
9e-07,70,70,
9e-07,70,70,
1.6e-06,72,72,
1.2e-06,71,71,
9e-07,69,69,
6e-06,67,67,
8e-07,65,65,
7e-07,64,64,
8e-07,65,65,
8e-07,67,67,
8e-07,66,66,
8e-07,70,70,
8e-07,69,69,
7e-07,66,66,
6e-07,68,68,
7e-07,63,63,
6e-07,62,62,
6e-07,62,62,
6e-07,61,61,
6e-07,60,60,
7e-07,70,70,
7e-07,70,70,
7e-07,71,71,
7e-07,71,71,
7e-07,69,69,
7e-07,68,68,
7e-07,68,68,
6e-07,67,67,
6e-07,59,59,
6e-07,57,57,
6e-07,57,57,
6e-07,57,57,
6e-07,50,50,
6e-07,49,49,
7e-07,51,51,
6e-07,50,50,
6e-07,50,50,
5e-07,48,48,
5e-07,45,45,
6e-07,46,46,
6e-07,43,43,
5e-07,46,46,
6e-07,45,45,
6e-07,50,50,
5e-07,51,51,
6e-07,50,50,
5e-07,49,49,
6e-07,50,50,
6e-07,53,53,
6e-07,52,52,
5e-07,51,51,
5e-07,48,48,
6e-07,50,50,
6e-07,47,47,
5e-07,46,46,
5e-07,45,45,
6e-07,47,47,
5e-07,47,47,
5e-07,46,46,
5e-07,47,47,
5e-07,48,48,
5e-07,43,43,
5e-07,42,42,
5e-07,43,43,
6e-07,44,44,
6e-07,47,47,
6e-07,45,45,
5e-07,43,43,
6e-07,51,51,
6e-07,50,50,
5e-07,49,49,
5e-07,47,47,
5e-07,45,45,
5e-07,42,42,
5e-07,41,41,
5e-07,39,39,
5e-07,42,42,
5e-07,42,42,
5e-07,41,41,
5e-07,40,40,
5e-07,41,41,
5e-07,40,40,
5e-07,39,39,
5e-07,43,43,
5e-07,44,44,
5e-07,40,40,
5e-07,48,48,
5e-07,49,49,
6e-07,49,49,
5e-07,48,48,
5e-07,45,45,
6e-07,46,46,
5e-07,45,45,
6e-07,48,48,
6e-07,45,45,
5e-07,44,44,
6e-07,47,47,
5e-07,47,47,
5e-07,48,48,
5e-07,48,48,
6e-07,48,48,
5e-07,47,47,
5e-07,44,44,
6e-07,45,45,
5e-07,45,45,
5e-07,45,45,
5e-07,46,46,
6e-07,48,48,
6e-07,47,47,
5e-07,47,47,
6e-07,48,48,
5e-07,50,50,
5e-07,50,50,
5e-07,50,50,
6e-07,49,49,
5e-07,48,48,
5e-07,48,48,
5e-07,44,44,
5e-07,43,43,
6e-07,48,48,
5e-07,47,47,
5e-07,48,48,
5e-07,47,47,
5e-07,45,45,
5e-07,45,45,
5e-07,47,47,
5e-07,45,45,
5e-07,49,49,
5e-07,49,49,
6e-07,49,49,
5e-07,48,48,
5e-07,47,47,
5e-07,46,46,
5e-07,45,45,
5e-07,45,45,
5e-07,44,44,
5e-07,43,43,
5e-07,41,41,
5e-07,43,43,
4e-07,42,42,
6e-07,40,40,
4e-07,38,38,
5e-07,38,38,
5e-07,37,37,
4e-07,36,36,
4e-07,35,35,
4e-07,33,33,
4e-07,37,37,
4e-07,36,36,
4e-07,37,37,
5e-07,35,35,
5e-07,41,41,
6e-07,42,42,
5e-07,42,42,
6e-07,42,42,
5e-07,39,39,
5e-07,47,47,
5e-07,44,44,
5e-07,42,42,
5e-07,38,38,
5e-07,34,34,
5e-07,35,35,
5e-07,40,40,
6e-07,47,47,
5e-07,44,44,
6e-07,43,43,
5e-07,45,45,
5e-07,45,45,
5e-07,44,44,
6e-07,44,44,
6e-07,46,46,
5e-07,44,44,
5e-07,44,44,
4e-07,43,43,
5e-07,42,42,
5e-07,39,39,
6e-07,40,40,
6e-07,43,43,
6e-07,40,40,
6e-07,39,39,
5e-07,38,38,
6e-07,38,38,
6e-07,37,37,
5e-07,36,36,
5e-07,38,38,
5e-07,38,38,
5e-07,37,37,
5e-07,40,40,
5e-07,40,40,
5e-07,38,38,
5e-07,36,36,
5e-07,38,38,
4e-07,36,36,
5e-07,36,36,
5e-07,36,36,
4e-07,35,35,
5e-07,33,33,
5e-07,32,32,
4e-07,39,39,
5e-07,42,42,
5e-07,42,42,
5e-07,41,41,
4e-07,40,40,
5e-07,39,39,
5e-07,38,38,
5e-07,37,37,
4e-07,36,36,
4e-07,35,35,
4e-07,38,38,
5e-07,37,37,
5e-07,39,39,
4e-07,39,39,
4e-07,35,35,
4e-07,34,34,
5e-07,34,34,
4e-07,33,33,
5e-07,33,33,
4e-07,30,30,
4e-07,29,29,
5e-07,33,33,
4e-07,31,31,
4e-07,27,27,
4e-07,27,27,
4e-07,26,26,
4e-07,24,24,
4e-07,22,22,
4e-07,25,25,
4e-07,24,24,
4e-07,20,20,
4e-07,25,25,
4e-07,26,26,
3e-07,24,24,
4e-07,24,24,
4e-07,24,24,
4e-07,21,21,
4e-07,24,24,
4e-07,22,22,
3e-07,22,22,
3e-07,21,21,
3e-07,19,19,
3e-07,22,22,
4e-07,22,22,
4e-07,24,24,
4e-07,21,21,
4e-07,20,20,
4e-07,20,20,
3e-07,19,19,
3e-07,20,20,
3e-07,19,19,
3e-07,18,18,
4e-07,19,19,
4e-07,24,24,
4e-07,22,22,
3e-07,20,20,
4e-07,22,22,
3e-07,20,20,
3e-07,18,18,
4e-07,17,17,
3e-07,15,15,
3e-07,15,15,
4e-07,17,17,
4e-07,17,17,
3e-07,19,19,
3e-07,20,20,
4e-07,21,21,
4e-07,20,20,
4e-07,20,20,
4e-07,18,18,
3e-07,19,19,
4e-07,17,17,
3e-07,17,17,
3e-07,16,16,
3e-07,17,17,
4e-07,20,20,
3e-07,21,21,
4e-07,21,21,
3e-07,19,19,
3e-07,16,16,
3e-07,18,18,
3e-07,17,17,
3e-07,17,17,
4e-07,16,16,
3e-07,14,14,
3e-07,12,12,
3e-07,12,12,
3e-07,14,14,
3e-07,12,12,
3e-07,13,13,
3e-07,12,12,
3e-07,17,17,
4e-07,22,22,
4e-07,21,21,
4e-07,19,19,
4e-07,17,17,
4e-07,16,16,
3e-07,17,17,
3e-07,17,17,
3e-07,17,17,
3e-07,15,15,
3e-07,18,18,
4e-07,18,18,
4e-07,16,16,
3e-07,17,17,
3e-07,18,18,
3e-07,19,19,
4e-07,17,17,
4e-07,16,16,
3e-07,13,13,
3e-07,11,11,
3e-07,10,10,
2e-07,8,8,
2e-07,9,9,
3e-07,14,14,
4e-07,13,13,
3e-07,12,12,
3e-07,11,11,
3e-07,13,13,
3e-07,12,12,
3e-07,10,10,
3e-07,9,9,
3e-07,10,10,
3e-07,16,16,
3e-07,15,15,
3e-07,15,15,
3e-07,14,14,
1.1e-06,15,15,
3e-07,16,16,
3e-07,13,13,
3e-07,12,12,
3e-07,11,11,
3e-07,8,8,
3e-07,8,8,
3e-07,9,9,
4e-07,12,12,
3e-07,13,13,
3e-07,12,12,
3e-07,10,10,
3e-07,10,10,
3e-07,11,11,
3e-07,12,12,
3e-07,10,10,
3e-07,14,14,
3e-07,14,14,
3e-07,13,13,
9e-07,12,12,
4e-07,17,17,
3e-07,17,17,
4e-07,17,17,
4e-07,17,17,
4e-07,16,16,
3e-07,17,17,
3e-07,18,18,
4e-07,19,19,
3e-07,20,20,
9e-07,18,18,
4e-07,16,16,
4e-07,15,15,
4e-07,14,14,
6e-07,14,14,
4e-07,15,15,
4e-07,13,13,
3e-07,12,12,
3e-07,11,11,
1.7e-06,20,20,
5e-07,18,18,
1.2e-06,20,20,
3e-07,19,19,
4e-07,18,18,
3e-07,17,17,
3e-07,20,20,
4e-07,21,21,
4e-07,25,25,
4e-07,27,27,
4e-07,30,30,
5e-07,30,30,
4e-07,30,30,
4e-07,28,28,
3e-07,25,25,
4e-07,25,25,
3e-07,24,24,
4e-07,26,26,
3e-07,25,25,
5e-07,29,29,
5e-07,38,38,
5e-07,37,37,
4e-07,36,36,
5e-07,35,35,
4e-07,36,36,
5e-07,36,36,
5e-07,36,36,
2.7e-06,38,38,
6e-07,41,41,
5e-07,39,39,
8e-07,41,41,
6e-07,40,40,
7e-07,43,43,
6e-07,41,41,
1e-06,41,41,
5e-07,35,35,
6e-07,34,34,
5e-07,35,35,
6e-07,34,34,
6e-07,37,37,
6e-07,35,35,
5e-07,35,35,
4e-07,35,35,
7e-07,33,33,
5e-07,32,32,
5e-07,31,31,
5e-07,32,32,
5e-07,32,32,
6e-07,31,31,
5e-07,30,30,
4e-07,28,28,
4e-07,30,30,
5e-07,32,32,
4e-07,31,31,
6e-07,30,30,
4e-07,30,30,
4e-07,30,30,
4e-07,30,30,
6e-07,36,36,
5e-07,32,32,
5e-07,31,31,
6e-07,30,30,
5e-07,26,26,
4e-07,25,25,
4e-07,24,24,
4e-07,23,23,
4e-07,26,26,
5e-07,23,23,
4e-07,26,26,
4e-07,28,28,
4e-07,27,27,
5e-07,28,28,
4e-07,27,27,
4e-07,29,29,
8e-07,33,33,
4e-07,32,32,
4e-07,34,34,
7e-07,32,32,
5e-07,33,33,
4e-07,41,41,
5e-07,37,37,
6e-07,41,41,
7e-07,45,45,
6e-07,44,44,
5e-07,42,42,
5e-07,41,41,
5e-07,40,40,
5e-07,43,43,
5e-07,44,44,
6e-07,46,46,
5e-07,48,48,
6e-07,47,47,
6e-07,49,49,
5e-07,48,48,
5e-07,48,48,
5e-07,47,47,
6e-07,48,48,
3.9e-06,49,49,
5e-07,50,50,
6e-07,51,51,
6e-07,53,53,
6e-07,56,56,
6e-07,58,58,
6e-07,52,52,
6e-07,51,51,
5e-07,51,51,
6e-07,54,54,
6e-07,53,53,
6e-07,52,52,
5e-07,51,51,
5e-07,51,51,
6e-07,51,51,
6e-07,50,50,
5e-07,50,50,
6e-07,44,44,
6e-07,45,45,
8e-07,45,45,
5e-07,44,44,
5e-07,43,43,
5e-07,43,43,
5e-07,41,41,
5e-07,40,40,
6e-07,41,41,
6e-07,42,42,
5e-07,41,41,
5e-07,40,40,
5e-07,39,39,
5e-07,38,38,
5e-07,30,30,
4e-07,27,27,
5e-07,27,27,
4e-07,26,26,
4e-07,25,25,
4e-07,26,26,
4e-07,27,27,
5e-07,26,26,
5e-07,25,25,
4e-07,25,25,
5e-07,24,24,
5e-07,24,24,
5e-07,24,24,
5e-07,39,39,
5e-07,37,37,
5e-07,39,39,
6e-07,43,43,
5e-07,41,41,
6e-07,43,43,
5e-07,42,42,
5e-07,47,47,
5e-07,45,45,
6e-07,52,52,
9e-07,51,51,
6e-07,52,52,
6e-07,52,52,
5e-07,53,53,
3.2e-06,52,52,
5e-07,52,52,
6e-07,50,50,
6e-07,50,50,
6e-07,52,52,
6e-07,55,55,
6e-07,53,53,
6e-07,58,58,
6e-07,58,58,
6e-07,58,58,
5e-07,56,56,
6e-07,57,57,
5e-07,56,56,
6e-07,58,58,
6e-07,57,57,
6e-07,58,58,
6e-07,57,57,
6e-07,57,57,
6e-07,57,57,
6e-07,51,51,
6e-07,49,49,
6e-07,48,48,
6e-07,53,53,
6e-07,51,51,
6e-07,50,50,
6e-07,52,52,
5e-07,51,51,
6e-07,50,50,
5e-07,49,49,
6e-07,48,48,
5e-07,47,47,
6e-07,47,47,
6e-07,48,48,
5e-07,47,47,
5e-07,43,43,
5e-07,43,43,
6e-07,46,46,
5e-07,45,45,
5e-07,46,46,
5e-07,47,47,
5e-07,47,47,
5e-07,46,46,
6e-07,47,47,
6e-07,46,46,
5e-07,46,46,
5e-07,50,50,
5e-07,48,48,
6e-07,47,47,
5e-07,48,48,
6e-07,46,46,
5e-07,48,48,
5e-07,47,47,
6e-07,51,51,
5e-07,51,51,
6e-07,51,51,
6e-07,53,53,
6e-07,52,52,
6e-07,51,51,
7e-07,51,51,
6e-07,50,50,
6e-07,51,51,
5e-07,50,50,
5e-07,51,51,
5e-07,52,52,
5e-07,51,51,
5e-07,50,50,
5e-07,47,47,
6e-07,46,46,
5e-07,45,45,
5e-07,44,44,
5e-07,42,42,
5e-07,41,41,
5e-07,41,41,
5e-07,41,41,
4e-07,40,40,
5e-07,39,39,
5e-07,35,35,
5e-07,32,32,
4e-07,32,32,
4e-07,32,32,
5e-07,31,31,
4e-07,30,30,
5e-07,31,31,
4e-07,30,30,
4e-07,27,27,
7e-07,28,28,
4e-07,31,31,
4e-07,38,38,
5e-07,36,36,
5e-07,36,36,
5e-07,34,34,
5e-07,35,35,
4e-07,34,34,
5e-07,34,34,
5e-07,34,34,
5e-07,36,36,
5e-07,36,36,
5e-07,34,34,
4e-07,32,32,
5e-07,31,31,
5e-07,30,30,
5e-07,29,29,
4e-07,34,34,
4e-07,33,33,
5e-07,38,38,
5e-07,38,38,
7e-07,45,45,
5e-07,44,44,
5e-07,44,44,
5e-07,44,44,
5e-07,43,43,
7e-07,45,45,
6e-07,41,41,
5e-07,38,38,
5e-07,38,38,
6e-07,40,40,
5e-07,40,40,
5e-07,39,39,
5e-07,34,34,
5e-07,32,32,
5e-07,33,33,
5e-07,33,33,
4e-07,31,31,
4e-07,30,30,
5e-07,31,31,
5e-07,35,35,
4e-07,34,34,
5e-07,32,32,
4e-07,32,32,
4e-07,32,32,
4e-07,34,34,
5e-07,39,39,
5e-07,38,38,
5e-07,39,39,
4e-07,38,38,
5e-07,37,37,
4e-07,35,35,
5e-07,34,34,
4e-07,33,33,
5e-07,35,35,
5e-07,34,34,
4e-07,33,33,
4e-07,35,35,
5e-07,34,34,
5e-07,35,35,
4e-07,34,34,
5e-07,36,36,
5e-07,43,43,
5e-07,42,42,
5e-07,42,42,
5e-07,40,40,
5e-07,42,42,
6e-07,40,40,
5e-07,38,38,
5e-07,41,41,
5e-07,40,40,
6e-07,39,39,
6e-07,39,39,
4e-07,38,38,
5e-07,39,39,
4e-07,31,31,
5e-07,33,33,
5e-07,33,33,
6e-07,32,32,
5e-07,30,30,
5e-07,32,32,
4e-07,31,31,
5e-07,30,30,
4e-07,29,29,
4e-07,28,28,
4e-07,28,28,
4e-07,27,27,
4e-07,27,27,
5e-07,26,26,
7e-07,29,29,
9e-07,31,31,
5e-07,28,28,
5e-07,28,28,
4e-07,26,26,
5e-07,29,29,
5e-07,28,28,
6e-07,27,27,
5e-07,28,28,
1.3e-06,27,27,
6e-07,27,27,
8e-07,27,27,
5e-07,34,34,
4e-07,33,33,
6e-07,36,36,
6e-07,38,38,
7e-07,41,41,
8e-07,40,40,
5e-07,42,42,
6e-07,41,41,
5e-07,42,42,
5e-07,41,41,
5e-07,40,40,
8e-07,43,43,
6e-07,44,44,
6e-07,43,43,
1.1e-06,42,42,
6e-07,41,41,
1.5e-06,45,45,
6e-07,44,44,
5e-07,45,45,
5e-07,44,44,
5e-07,43,43,
5e-07,41,41,
6e-07,39,39,
6e-07,46,46,
6e-07,47,47,
5e-07,43,43,
7e-07,52,52,
6e-07,53,53,
8e-07,57,57,
7e-07,59,59,
7e-07,58,58,
7e-07,58,58,
8e-07,60,60,
7e-07,58,58,
7e-07,53,53,
6e-07,54,54,
7e-07,53,53,
7e-07,55,55,
7e-07,53,53,
6e-07,51,51,
6e-07,50,50,
7e-07,51,51,
6e-07,51,51,
6e-07,50,50,
6e-07,54,54,
6e-07,53,53,
5e-07,52,52,
7e-07,57,57,
8e-07,61,61,
8e-07,62,62,
7e-07,60,60,
7e-07,59,59,
6e-07,57,57,
9e-07,59,59,
7e-07,57,57,
